CDR_HOUR,ATT_0,ATT_1,ATT_7,SUC_0,SUC_1,SUC_7,ROAMATT_0,ROAMATT_1,ROAMATT_7,ROAMSUC_0,ROAMSUC,ROAMSUC_7,NONROATT_0,NONROATT_1,NONROATT_7,NONROSUC_0,NONROSUC_1,NONROSUC_7,MOCATT_0,MOCATT_1,MOCATT_7,MOCSUC_0,MOCSUC_1,MOCSUC_7,MTCATT_0,MTCATT_1,MTCATT_7,MTCSUC_0,MTCSUC_1,MTCSUC_7,MFCATT_0,MFCATT_1,MFCATT_7,MFCSUC_0,MFCSUC_1,MFCSUC_7,100ATT_0,100ATT_1,100ATT_7,100SUC_0,100SUC_1,100SUC_7,150ATT_0,150ATT_1,150ATT_7,150SUC_0,150SUC_1,150SUC_7,200ATT_0,200ATT_1,200ATT_7,200SUC_0,200SUC_1,200SUC_7,300ATT_0,300ATT_1,300ATT_7,300SUC_0,300SUC_1,300SUC_7,MMATT_0,MMATT_1,MMATT_7,MMSUC_0,MMSUC_1,MMSUC_7,PKATT_0,PKATT_1,PKATT_7,PKSUC_0,PKSUC_1,PKSUC_7
00,50059,46450,48813,49040,45454,47727,144,137,377,143,136,373,49915,46313,48436,48897,45318,47354,49515,46046,48049,48588,45138,47094,153,145,466,61,57,335,391,259,298,391,259,298,49812,46220,48277,48890,45315,47324,45,68,36,40,65,34,49,17,34,49,17,34,153,145,466,61,57,335,12517,11606,12398,12230,11379,12081,37542,34844,36415,36810,34075,35646
01,32467,28147,31457,31800,27520,30501,138,69,143,136,68,140,32329,28078,31314,31664,27452,30361,32026,27837,30988,31383,27235,30135,143,55,200,119,30,100,298,255,269,298,255,266,32253,28051,31182,31614,27455,30330,24,26,43,20,20,40,47,15,32,47,15,31,143,55,200,119,30,100,8192,6934,7904,8023,6768,7668,24275,21213,23553,23777,20752,22833
02,23529,20162,21943,22949,19668,17818,61,54,122,60,51,99,23468,20108,21821,22889,19617,17719,23280,19970,21539,22729,19500,17486,69,43,103,40,19,70,180,149,301,180,149,262,23416,20080,21784,22867,19612,17699,15,12,7,13,10,7,29,24,49,29,24,42,69,46,103,40,22,70,5870,5036,5657,5726,4916,4560,17659,15126,16286,17223,14752,13258
03,19306,16915,18022,18887,16520,17451,92,63,79,91,61,73,19214,16852,17943,18796,16459,17378,19066,16731,17679,18665,16347,17146,83,37,90,65,26,53,157,147,253,157,147,252,19197,16854,17910,18797,16471,17378,9,5,6,8,4,4,17,19,16,17,19,16,83,37,90,65,26,53,4760,4292,4591,4632,4196,4435,14546,12623,13431,14255,12324,13016
04,27777,25514,27309,27227,24960,26774,82,55,151,76,49,150,27695,25459,27158,27151,24911,26624,27451,25318,26874,26939,24767,26363,99,27,156,61,24,132,227,169,279,227,169,279,27620,25418,27083,27114,24873,26575,26,30,16,20,24,13,32,39,54,32,39,54,99,27,156,61,24,132,6915,6364,6757,6762,6210,6617,20862,19150,20552,20465,18750,20157
05,54353,54179,54147,53318,53039,52846,72,79,198,67,75,197,54281,54100,53949,53251,52964,52649,53898,53765,53466,52880,52639,52234,66,72,241,49,58,172,389,342,440,389,342,440,54153,54016,53759,53140,52893,52531,48,21,48,43,18,44,86,70,99,86,70,99,66,72,241,49,58,172,13777,13591,13417,13505,13300,13066,40576,40588,40730,39813,39739,39780
06,86910,89457,85303,85135,87571,83183,109,83,225,105,80,217,86801,89374,85078,85030,87491,82966,86137,88840,84305,84399,86985,82259,102,90,246,65,59,172,671,527,752,671,527,752,86659,89215,84863,84928,87364,82823,58,63,59,52,59,53,91,89,135,90,89,135,102,90,246,65,59,172,21903,22394,21186,21473,21924,20693,65007,67063,64117,63662,65647,62490
07,118442,120538,117381,115466,117349,113766,510,501,1093,510,498,1092,117932,120037,116288,114956,116851,112674,114658,116785,112268,112328,114222,109750,1114,1075,2151,468,449,1054,2670,2678,2962,2670,2678,2962,117059,119181,114942,114738,116620,112432,65,85,70,56,83,62,204,197,218,204,197,218,1114,1075,2151,468,449,1054,29939,30272,29815,29149,29520,28747,88503,90266,87566,86317,87829,85019
08,153571,161322,151204,148901,156369,145789,2198,2293,3021,2191,2292,3020,151373,159029,148183,146710,154077,142769,140041,147562,134482,137209,144848,131792,3961,4396,5683,2123,2162,2960,9569,9364,11039,9569,9359,11037,148837,155534,144805,146015,152824,142123,96,90,97,86,86,90,676,1297,610,676,1297,609,3957,4398,5692,2120,2159,2967,39101,41316,38966,37763,39905,37365,114470,120006,112238,111138,116464,108424
09,177946,191450,177885,172672,185618,170043,2250,2944,4638,2248,2943,4635,175696,188506,173247,170424,182675,165408,161721,171857,154836,158577,168879,151604,4288,5720,9162,2161,2875,4553,11937,13873,13887,11934,13864,13886,172069,183414,167491,168935,180441,164269,104,104,150,94,99,141,1478,2203,1070,1478,2203,1069,4285,5725,9174,2161,2874,4564,44841,48380,46517,43365,46824,43973,133105,143070,131368,129307,138794,126070
10,186692,199476,188439,181255,193494,179832,2512,3854,4071,2509,3851,4067,184180,195622,184368,178746,189643,175765,170272,180089,163667,166850,176804,160199,4444,6444,9092,2432,3755,3959,11976,12943,15680,11973,12935,15674,180639,190597,178306,177223,187320,174844,136,134,117,130,126,111,1463,2286,906,1463,2286,906,4443,6452,9110,2434,3755,3971,47413,50258,48881,45971,48642,46247,139279,149218,139558,135284,144852,133585
11,182489,173908,200514,177281,168478,192425,1962,2403,3597,1962,2400,3593,180527,171505,196917,175319,166078,188832,168474,159891,182165,165266,156813,177850,3861,4664,7286,1866,2318,3517,10154,9353,11063,10149,9347,11058,177047,167292,192172,173846,164228,187867,100,134,135,93,120,125,1469,1807,911,1469,1807,911,3856,4670,7296,1859,2321,3522,45803,43880,51303,44392,42441,48866,136686,130028,149211,132889,126037,143559
12,185119,164504,195571,179843,159648,188012,2693,2682,4087,2681,2682,4078,182426,161822,191484,177162,156966,183934,168498,150034,174135,165208,147004,170322,4610,4420,7776,2627,2594,4031,12011,10050,13660,12008,10050,13659,179565,159527,187031,176289,156501,183228,135,104,157,121,100,147,799,442,595,799,442,595,4614,4431,7788,2629,2605,4042,47117,41811,50234,45681,40580,47954,138002,122693,145337,134162,119068,140058
13,167597,179563,189533,163077,174543,175937,1704,1992,7020,1702,1989,7020,165893,177571,182513,161375,172554,168917,156327,164633,162342,153317,161406,158880,3139,3740,17087,1630,1947,6956,8131,11190,10104,8130,11190,10101,163491,173749,171186,160495,170537,167735,101,128,146,88,114,135,862,1942,1104,861,1941,1104,3133,3739,17095,1625,1946,6961,41826,45192,51102,40682,43840,45764,125771,134371,138431,122395,130703,130173
14,163242,175753,184597,159199,170398,169426,1949,2760,6707,1948,2758,6703,161293,172993,177890,157251,167640,162723,151715,158725,154005,148862,155761,151000,3050,5055,18787,1860,2666,6631,8477,11973,11805,8477,11971,11795,159361,168361,164743,156519,165402,161751,152,122,154,141,117,141,678,2204,895,678,2204,895,3048,5054,18805,1858,2668,6639,41405,44856,49811,40305,43341,43838,121837,130897,134786,118894,127057,125588
15,164880,175903,168904,161088,171361,164270,1037,1865,2612,1035,1862,2603,163843,174038,166292,160053,169499,161667,156162,161696,157779,153340,158945,154930,1924,3523,4287,955,1736,2506,6794,10684,6838,6793,10680,6834,162479,170433,163844,159669,167699,161012,132,113,134,120,98,118,344,1828,631,344,1826,630,1925,3525,4291,955,1738,2506,41461,44271,43148,40514,43070,41768,123419,131632,125756,120574,128291,122502
16,177980,187055,183770,174055,181650,178644,1395,2678,2456,1394,2675,2452,176585,184377,181314,172661,178975,176192,170731,171475,171742,167704,168586,168718,2210,5134,4481,1313,2619,2383,5039,10446,7547,5038,10445,7543,175340,180498,178650,172325,177616,175635,106,131,135,94,125,126,323,1285,498,323,1284,498,2207,5120,4487,1309,2608,2385,44731,47500,46820,43662,46037,45240,133249,139555,136950,130393,135613,133404
17,184202,186288,189025,179981,181790,184202,765,1264,1555,764,1262,1553,183437,185024,187470,179217,180528,182649,178864,176557,180301,175421,173392,176813,1426,2526,2826,650,1195,1493,3912,7205,5898,3910,7203,5896,182429,183027,185789,179002,179878,182320,148,141,193,132,126,174,197,588,209,197,587,209,1427,2527,2834,649,1196,1499,45928,46685,47787,44867,45505,46472,138274,139603,141238,135114,136285,137730
18,196872,192036,196161,191950,187308,190470,892,1744,1880,890,1732,1878,195980,190292,194281,191060,185576,188592,187991,181083,185406,183958,177387,181378,1722,2658,3473,833,1626,1811,7159,8295,7282,7159,8295,7281,194818,188887,192361,190791,185208,188345,152,161,163,146,144,152,179,328,157,179,328,156,1723,2658,3480,834,1626,1817,49516,48022,49906,48213,46781,48307,147356,144014,146255,143737,140527,142163
19,180956,173859,184173,176324,169430,178429,741,848,1868,733,843,1860,180215,173011,182305,175591,168587,176569,175907,168777,173757,171832,165082,169630,1218,1380,3401,662,647,1784,3831,3702,7015,3830,3701,7015,179388,172101,180423,175332,168418,176307,182,163,149,163,151,138,167,214,190,167,214,190,1218,1381,3411,661,647,1794,45013,43653,46760,43843,42533,45190,135943,130206,137413,132481,126897,133239
