CDR_DATE,CDR_HOUR,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
21-12-2023,23:20,100,,67,1,day0
21-12-2023,23:20,111,4012,67,41,day0
21-12-2023,23:20,111,4012,68,127,day0
21-12-2023,23:20,111,4012,73,7925,day0
21-12-2023,23:20,123,2001,72,4,day0
21-12-2023,23:20,23,,73,186,day0
21-12-2023,23:20,372,2001,72,24,day0
21-12-2023,23:20,6,,73,19,day0
21-12-2023,23:20,601,503,66,1,day0
21-12-2023,23:20,9,,72,13,day0
21-12-2023,23:20,938,2001,66,171,day0
21-12-2023,23:20,940,4010,67,2,day0
21-12-2023,23:20,940,4010,73,39,day0
21-12-2023,23:20,940,4012,66,15,day0
21-12-2023,23:20,940,5030,66,1,day0
21-12-2023,23:20,940,5030,67,23,day0
21-12-2023,23:20,940,5031,66,1,day0
21-12-2023,23:20,940,5031,73,99,day0
21-12-2023,23:20,941,2001,67,412,day0
21-12-2023,23:20,941,2001,73,264,day0
21-12-2023,23:20,949,2001,68,17,day0
21-12-2023,23:20,973,,73,8,day0
21-12-2023,23:20,987,2001,72,24,day0
21-12-2023,23:20,991,,73,1278,day0
21-12-2023,23:21,111,4012,67,43,day0
21-12-2023,23:21,111,4012,68,131,day0
21-12-2023,23:21,111,4012,73,8006,day0
21-12-2023,23:21,23,,73,211,day0
21-12-2023,23:21,372,2001,72,20,day0
21-12-2023,23:21,6,,73,38,day0
21-12-2023,23:21,9,,72,16,day0
21-12-2023,23:21,938,2001,66,141,day0
21-12-2023,23:21,940,4010,73,40,day0
21-12-2023,23:21,940,4012,66,10,day0
21-12-2023,23:21,940,5030,67,23,day0
21-12-2023,23:21,940,5031,66,1,day0
21-12-2023,23:21,940,5031,73,97,day0
21-12-2023,23:21,941,2001,67,429,day0
21-12-2023,23:21,941,2001,73,190,day0
21-12-2023,23:21,948,5031,68,1,day0
21-12-2023,23:21,949,2001,68,21,day0
21-12-2023,23:21,973,,73,8,day0
21-12-2023,23:21,987,2001,72,20,day0
21-12-2023,23:21,991,,73,1126,day0
21-12-2023,23:22,111,4012,67,51,day0
21-12-2023,23:22,111,4012,68,121,day0
21-12-2023,23:22,111,4012,73,8186,day0
21-12-2023,23:22,123,2001,72,2,day0
21-12-2023,23:22,23,,73,185,day0
21-12-2023,23:22,372,2001,72,16,day0
21-12-2023,23:22,6,,73,18,day0
21-12-2023,23:22,9,,72,18,day0
21-12-2023,23:22,938,2001,66,146,day0
21-12-2023,23:22,940,4010,67,1,day0
21-12-2023,23:22,940,4010,73,43,day0
21-12-2023,23:22,940,4012,66,14,day0
21-12-2023,23:22,940,5030,66,2,day0
21-12-2023,23:22,940,5030,67,24,day0
21-12-2023,23:22,940,5031,66,2,day0
21-12-2023,23:22,940,5031,73,101,day0
21-12-2023,23:22,941,2001,67,417,day0
21-12-2023,23:22,941,2001,73,157,day0
21-12-2023,23:22,949,2001,68,32,day0
21-12-2023,23:22,973,,73,10,day0
21-12-2023,23:22,987,2001,72,16,day0
21-12-2023,23:22,991,,73,1209,day0
21-12-2023,23:23,111,4012,67,56,day0
21-12-2023,23:23,111,4012,68,122,day0
21-12-2023,23:23,111,4012,73,8664,day0
21-12-2023,23:23,123,2001,72,4,day0
21-12-2023,23:23,23,,73,217,day0
21-12-2023,23:23,372,2001,72,22,day0
21-12-2023,23:23,6,,73,19,day0
21-12-2023,23:23,9,,72,8,day0
21-12-2023,23:23,938,2001,66,135,day0
21-12-2023,23:23,940,4010,73,29,day0
21-12-2023,23:23,940,4012,66,7,day0
21-12-2023,23:23,940,5030,67,21,day0
21-12-2023,23:23,940,5031,66,1,day0
21-12-2023,23:23,940,5031,73,110,day0
21-12-2023,23:23,941,2001,67,419,day0
21-12-2023,23:23,941,2001,73,166,day0
21-12-2023,23:23,949,2001,68,17,day0
21-12-2023,23:23,973,,73,12,day0
21-12-2023,23:23,987,2001,72,22,day0
21-12-2023,23:23,991,,73,1014,day0
21-12-2023,23:23,998,,67,258,day0
21-12-2023,23:24,111,4012,67,51,day0
21-12-2023,23:24,111,4012,68,159,day0
21-12-2023,23:24,111,4012,73,8884,day0
21-12-2023,23:24,23,,73,138,day0
21-12-2023,23:24,372,2001,72,21,day0
21-12-2023,23:24,6,,73,13,day0
21-12-2023,23:24,715,,67,1,day0
21-12-2023,23:24,9,,72,10,day0
21-12-2023,23:24,938,2001,66,145,day0
21-12-2023,23:24,940,4010,73,5,day0
21-12-2023,23:24,940,4012,66,7,day0
21-12-2023,23:24,940,5030,66,2,day0
21-12-2023,23:24,940,5030,67,30,day0
21-12-2023,23:24,940,5031,72,2,day0
21-12-2023,23:24,940,5031,73,83,day0
21-12-2023,23:24,941,2001,67,411,day0
21-12-2023,23:24,941,2001,73,205,day0
21-12-2023,23:24,949,2001,68,19,day0
21-12-2023,23:24,973,,73,10,day0
21-12-2023,23:24,987,2001,72,21,day0
21-12-2023,23:24,991,,73,674,day0
21-12-2023,23:24,998,,67,13,day0
21-12-2023,23:25,10,,66,2,day0
21-12-2023,23:25,111,4012,67,55,day0
21-12-2023,23:25,111,4012,68,122,day0
21-12-2023,23:25,111,4012,73,9239,day0
21-12-2023,23:25,123,2001,72,2,day0
21-12-2023,23:25,23,,73,182,day0
21-12-2023,23:25,372,2001,72,28,day0
21-12-2023,23:25,6,,73,19,day0
21-12-2023,23:25,9,,72,7,day0
21-12-2023,23:25,938,2001,66,139,day0
21-12-2023,23:25,940,4010,73,16,day0
21-12-2023,23:25,940,4012,66,14,day0
21-12-2023,23:25,940,5030,66,1,day0
21-12-2023,23:25,940,5030,67,27,day0
21-12-2023,23:25,940,5031,67,1,day0
21-12-2023,23:25,940,5031,73,56,day0
21-12-2023,23:25,941,2001,67,421,day0
21-12-2023,23:25,941,2001,73,173,day0
21-12-2023,23:25,949,2001,68,16,day0
21-12-2023,23:25,973,,73,10,day0
21-12-2023,23:25,987,2001,72,28,day0
21-12-2023,23:25,991,,73,662,day0
21-12-2023,23:26,111,4012,67,49,day0
21-12-2023,23:26,111,4012,68,129,day0
21-12-2023,23:26,111,4012,73,8990,day0
21-12-2023,23:26,123,2001,72,2,day0
21-12-2023,23:26,23,,73,143,day0
21-12-2023,23:26,372,2001,72,18,day0
21-12-2023,23:26,6,,73,17,day0
21-12-2023,23:26,601,,66,1,day0
21-12-2023,23:26,9,,72,16,day0
21-12-2023,23:26,938,2001,66,136,day0
21-12-2023,23:26,940,4010,73,48,day0
21-12-2023,23:26,940,4012,66,8,day0
21-12-2023,23:26,940,5030,66,4,day0
21-12-2023,23:26,940,5030,67,21,day0
21-12-2023,23:26,940,5031,66,2,day0
21-12-2023,23:26,940,5031,73,91,day0
21-12-2023,23:26,941,2001,67,411,day0
21-12-2023,23:26,941,2001,73,175,day0
21-12-2023,23:26,948,5031,68,1,day0
21-12-2023,23:26,949,2001,68,20,day0
21-12-2023,23:26,973,,73,9,day0
21-12-2023,23:26,987,2001,72,18,day0
21-12-2023,23:26,991,,73,1058,day0
21-12-2023,23:27,111,4012,67,57,day0
21-12-2023,23:27,111,4012,68,141,day0
21-12-2023,23:27,111,4012,73,8852,day0
21-12-2023,23:27,123,2001,72,2,day0
21-12-2023,23:27,23,,73,148,day0
21-12-2023,23:27,372,2001,72,21,day0
21-12-2023,23:27,41,,67,1,day0
21-12-2023,23:27,6,,73,9,day0
21-12-2023,23:27,9,,72,12,day0
21-12-2023,23:27,938,2001,66,152,day0
21-12-2023,23:27,940,4010,73,42,day0
21-12-2023,23:27,940,4012,66,9,day0
21-12-2023,23:27,940,5030,66,3,day0
21-12-2023,23:27,940,5030,67,19,day0
21-12-2023,23:27,940,5031,66,2,day0
21-12-2023,23:27,940,5031,73,96,day0
21-12-2023,23:27,941,2001,67,421,day0
21-12-2023,23:27,941,2001,73,155,day0
21-12-2023,23:27,949,2001,68,15,day0
21-12-2023,23:27,973,,73,9,day0
21-12-2023,23:27,987,2001,72,21,day0
21-12-2023,23:27,991,,73,918,day0
21-12-2023,23:28,111,4012,67,54,day0
21-12-2023,23:28,111,4012,68,138,day0
21-12-2023,23:28,111,4012,73,8114,day0
21-12-2023,23:28,23,,73,160,day0
21-12-2023,23:28,372,2001,72,19,day0
21-12-2023,23:28,6,,73,15,day0
21-12-2023,23:28,9,,72,16,day0
21-12-2023,23:28,938,2001,66,173,day0
21-12-2023,23:28,940,4010,73,45,day0
21-12-2023,23:28,940,4012,66,8,day0
21-12-2023,23:28,940,5030,66,1,day0
21-12-2023,23:28,940,5030,67,24,day0
21-12-2023,23:28,940,5031,66,3,day0
21-12-2023,23:28,940,5031,73,82,day0
21-12-2023,23:28,941,2001,67,415,day0
21-12-2023,23:28,941,2001,73,169,day0
21-12-2023,23:28,949,2001,68,19,day0
21-12-2023,23:28,973,,73,3,day0
21-12-2023,23:28,987,2001,72,18,day0
21-12-2023,23:28,991,,73,1024,day0
21-12-2023,23:29,111,4012,67,53,day0
21-12-2023,23:29,111,4012,68,77,day0
21-12-2023,23:29,111,4012,73,6515,day0
21-12-2023,23:29,123,2001,72,4,day0
21-12-2023,23:29,23,,73,135,day0
21-12-2023,23:29,372,2001,72,24,day0
21-12-2023,23:29,6,,73,12,day0
21-12-2023,23:29,9,,72,7,day0
21-12-2023,23:29,938,2001,66,155,day0
21-12-2023,23:29,940,4010,67,1,day0
21-12-2023,23:29,940,4010,73,41,day0
21-12-2023,23:29,940,4012,66,14,day0
21-12-2023,23:29,940,5030,67,27,day0
21-12-2023,23:29,940,5031,66,2,day0
21-12-2023,23:29,940,5031,73,63,day0
21-12-2023,23:29,941,2001,67,414,day0
21-12-2023,23:29,941,2001,73,160,day0
21-12-2023,23:29,949,2001,68,10,day0
21-12-2023,23:29,973,,73,9,day0
21-12-2023,23:29,987,2001,72,25,day0
21-12-2023,23:29,991,,73,1033,day0
21-12-2023,23:30,111,4012,67,50,day0
21-12-2023,23:30,111,4012,68,91,day0
21-12-2023,23:30,111,4012,73,6195,day0
21-12-2023,23:30,123,2001,72,2,day0
21-12-2023,23:30,23,,73,140,day0
21-12-2023,23:30,372,2001,72,24,day0
21-12-2023,23:30,6,,73,54,day0
21-12-2023,23:30,9,,72,10,day0
21-12-2023,23:30,938,2001,66,144,day0
21-12-2023,23:30,940,4010,73,20,day0
21-12-2023,23:30,940,4012,66,14,day0
21-12-2023,23:30,940,5030,66,2,day0
21-12-2023,23:30,940,5030,67,21,day0
21-12-2023,23:30,940,5030,73,1,day0
21-12-2023,23:30,940,5031,66,2,day0
21-12-2023,23:30,940,5031,67,1,day0
21-12-2023,23:30,940,5031,73,62,day0
21-12-2023,23:30,941,2001,67,431,day0
21-12-2023,23:30,941,2001,73,240,day0
21-12-2023,23:30,948,5031,68,1,day0
21-12-2023,23:30,949,2001,68,10,day0
21-12-2023,23:30,973,,73,6,day0
21-12-2023,23:30,987,2001,72,24,day0
21-12-2023,23:30,991,,73,1131,day0
21-12-2023,23:31,111,4012,67,30,day0
21-12-2023,23:31,111,4012,68,63,day0
21-12-2023,23:31,111,4012,73,6578,day0
21-12-2023,23:31,23,,73,136,day0
21-12-2023,23:31,372,2001,72,20,day0
21-12-2023,23:31,6,,73,11,day0
21-12-2023,23:31,715,,67,1,day0
21-12-2023,23:31,9,,72,11,day0
21-12-2023,23:31,938,2001,66,128,day0
21-12-2023,23:31,940,4010,73,32,day0
21-12-2023,23:31,940,4012,66,9,day0
21-12-2023,23:31,940,5030,66,3,day0
21-12-2023,23:31,940,5030,67,19,day0
21-12-2023,23:31,940,5031,73,55,day0
21-12-2023,23:31,941,2001,67,331,day0
21-12-2023,23:31,941,2001,73,221,day0
21-12-2023,23:31,948,5031,68,1,day0
21-12-2023,23:31,949,2001,68,11,day0
21-12-2023,23:31,973,,73,8,day0
21-12-2023,23:31,987,2001,72,20,day0
21-12-2023,23:31,991,,73,909,day0
21-12-2023,23:32,111,4012,67,14,day0
21-12-2023,23:32,111,4012,68,40,day0
21-12-2023,23:32,111,4012,73,2199,day0
21-12-2023,23:32,123,2001,72,2,day0
21-12-2023,23:32,23,,73,39,day0
21-12-2023,23:32,372,2001,72,19,day0
21-12-2023,23:32,6,,73,2,day0
21-12-2023,23:32,715,,67,1,day0
21-12-2023,23:32,9,,72,7,day0
21-12-2023,23:32,938,2001,66,120,day0
21-12-2023,23:32,940,4010,73,10,day0
21-12-2023,23:32,940,4012,66,9,day0
21-12-2023,23:32,940,5030,66,1,day0
21-12-2023,23:32,940,5030,67,5,day0
21-12-2023,23:32,940,5031,66,1,day0
21-12-2023,23:32,940,5031,67,1,day0
21-12-2023,23:32,940,5031,73,22,day0
21-12-2023,23:32,941,2001,67,132,day0
21-12-2023,23:32,941,2001,73,48,day0
21-12-2023,23:32,948,5031,68,1,day0
21-12-2023,23:32,949,2001,68,6,day0
21-12-2023,23:32,973,,73,5,day0
21-12-2023,23:32,987,2001,72,19,day0
21-12-2023,23:32,991,,73,257,day0
20-12-2023,23:20,111,4012,67,46,day1
20-12-2023,23:20,111,4012,68,113,day1
20-12-2023,23:20,111,4012,73,5857,day1
20-12-2023,23:20,123,2001,72,2,day1
20-12-2023,23:20,23,,73,178,day1
20-12-2023,23:20,372,2001,72,15,day1
20-12-2023,23:20,6,,73,8,day1
20-12-2023,23:20,9,,72,8,day1
20-12-2023,23:20,938,2001,66,142,day1
20-12-2023,23:20,940,4010,73,28,day1
20-12-2023,23:20,940,4012,66,8,day1
20-12-2023,23:20,940,5030,66,3,day1
20-12-2023,23:20,940,5030,67,24,day1
20-12-2023,23:20,940,5031,66,2,day1
20-12-2023,23:20,940,5031,73,75,day1
20-12-2023,23:20,941,2001,67,420,day1
20-12-2023,23:20,941,2001,73,201,day1
20-12-2023,23:20,949,2001,68,18,day1
20-12-2023,23:20,973,,73,9,day1
20-12-2023,23:20,987,2001,72,15,day1
20-12-2023,23:20,991,,73,1088,day1
20-12-2023,23:21,111,4012,67,58,day1
20-12-2023,23:21,111,4012,68,121,day1
20-12-2023,23:21,111,4012,73,6398,day1
20-12-2023,23:21,123,2001,72,6,day1
20-12-2023,23:21,23,,73,190,day1
20-12-2023,23:21,372,2001,72,18,day1
20-12-2023,23:21,6,,73,13,day1
20-12-2023,23:21,601,,66,1,day1
20-12-2023,23:21,715,,67,2,day1
20-12-2023,23:21,9,,72,14,day1
20-12-2023,23:21,938,2001,66,134,day1
20-12-2023,23:21,940,4010,67,1,day1
20-12-2023,23:21,940,4010,73,12,day1
20-12-2023,23:21,940,4012,66,10,day1
20-12-2023,23:21,940,5030,66,3,day1
20-12-2023,23:21,940,5030,67,22,day1
20-12-2023,23:21,940,5031,66,1,day1
20-12-2023,23:21,940,5031,73,83,day1
20-12-2023,23:21,941,2001,67,403,day1
20-12-2023,23:21,941,2001,73,160,day1
20-12-2023,23:21,948,5031,68,1,day1
20-12-2023,23:21,949,2001,68,17,day1
20-12-2023,23:21,973,,73,6,day1
20-12-2023,23:21,987,2001,72,18,day1
20-12-2023,23:21,991,,73,1064,day1
20-12-2023,23:22,111,4012,67,49,day1
20-12-2023,23:22,111,4012,68,124,day1
20-12-2023,23:22,111,4012,73,6834,day1
20-12-2023,23:22,123,2001,72,2,day1
20-12-2023,23:22,23,,73,221,day1
20-12-2023,23:22,372,2001,72,17,day1
20-12-2023,23:22,6,,73,14,day1
20-12-2023,23:22,715,,67,2,day1
20-12-2023,23:22,9,,72,13,day1
20-12-2023,23:22,938,2001,66,125,day1
20-12-2023,23:22,940,4010,73,6,day1
20-12-2023,23:22,940,4012,66,6,day1
20-12-2023,23:22,940,5030,66,4,day1
20-12-2023,23:22,940,5030,67,19,day1
20-12-2023,23:22,940,5031,67,1,day1
20-12-2023,23:22,940,5031,73,70,day1
20-12-2023,23:22,941,2001,67,392,day1
20-12-2023,23:22,941,2001,73,148,day1
20-12-2023,23:22,949,2001,68,12,day1
20-12-2023,23:22,973,,73,11,day1
20-12-2023,23:22,987,2001,72,17,day1
20-12-2023,23:22,991,,73,1184,day1
20-12-2023,23:23,111,4012,67,74,day1
20-12-2023,23:23,111,4012,68,131,day1
20-12-2023,23:23,111,4012,73,6343,day1
20-12-2023,23:23,23,,73,208,day1
20-12-2023,23:23,372,2001,72,10,day1
20-12-2023,23:23,6,,73,12,day1
20-12-2023,23:23,715,,67,1,day1
20-12-2023,23:23,9,,72,17,day1
20-12-2023,23:23,938,2001,66,142,day1
20-12-2023,23:23,940,4010,73,21,day1
20-12-2023,23:23,940,4012,66,15,day1
20-12-2023,23:23,940,5030,67,25,day1
20-12-2023,23:23,940,5031,67,1,day1
20-12-2023,23:23,940,5031,73,40,day1
20-12-2023,23:23,941,2001,67,408,day1
20-12-2023,23:23,941,2001,73,144,day1
20-12-2023,23:23,949,2001,68,14,day1
20-12-2023,23:23,968,,72,1,day1
20-12-2023,23:23,973,,73,8,day1
20-12-2023,23:23,987,2001,72,10,day1
20-12-2023,23:23,991,,73,1141,day1
20-12-2023,23:24,111,4012,67,48,day1
20-12-2023,23:24,111,4012,68,145,day1
20-12-2023,23:24,111,4012,73,5520,day1
20-12-2023,23:24,23,,73,162,day1
20-12-2023,23:24,372,2001,72,22,day1
20-12-2023,23:24,41,,67,1,day1
20-12-2023,23:24,6,,73,18,day1
20-12-2023,23:24,715,,67,2,day1
20-12-2023,23:24,9,,72,15,day1
20-12-2023,23:24,938,2001,66,120,day1
20-12-2023,23:24,940,4012,66,18,day1
20-12-2023,23:24,940,5030,67,28,day1
20-12-2023,23:24,940,5031,66,2,day1
20-12-2023,23:24,940,5031,73,2,day1
20-12-2023,23:24,941,2001,67,418,day1
20-12-2023,23:24,941,2001,73,230,day1
20-12-2023,23:24,949,2001,68,19,day1
20-12-2023,23:24,973,,73,4,day1
20-12-2023,23:24,987,2001,72,22,day1
20-12-2023,23:24,991,,73,795,day1
20-12-2023,23:25,111,4012,67,72,day1
20-12-2023,23:25,111,4012,68,147,day1
20-12-2023,23:25,111,4012,73,5449,day1
20-12-2023,23:25,123,2001,72,2,day1
20-12-2023,23:25,23,,73,181,day1
20-12-2023,23:25,372,2001,72,15,day1
20-12-2023,23:25,6,,73,9,day1
20-12-2023,23:25,715,,67,1,day1
20-12-2023,23:25,9,,72,15,day1
20-12-2023,23:25,938,2001,66,138,day1
20-12-2023,23:25,940,4012,66,14,day1
20-12-2023,23:25,940,5030,66,1,day1
20-12-2023,23:25,940,5030,67,24,day1
20-12-2023,23:25,940,5031,66,2,day1
20-12-2023,23:25,941,2001,67,417,day1
20-12-2023,23:25,941,2001,73,145,day1
20-12-2023,23:25,948,5031,68,1,day1
20-12-2023,23:25,949,2001,68,19,day1
20-12-2023,23:25,973,,73,4,day1
20-12-2023,23:25,987,2001,72,15,day1
20-12-2023,23:25,991,,73,853,day1
20-12-2023,23:26,111,4012,67,61,day1
20-12-2023,23:26,111,4012,68,131,day1
20-12-2023,23:26,111,4012,73,6035,day1
20-12-2023,23:26,123,2001,72,2,day1
20-12-2023,23:26,23,,73,143,day1
20-12-2023,23:26,372,2001,72,21,day1
20-12-2023,23:26,6,,73,13,day1
20-12-2023,23:26,9,,72,21,day1
20-12-2023,23:26,938,2001,66,145,day1
20-12-2023,23:26,940,4010,73,14,day1
20-12-2023,23:26,940,4012,66,12,day1
20-12-2023,23:26,940,5030,67,24,day1
